ship_type,ship_id,ship_name
Cargo,376495,MIKHAIL DUDIN
Cargo,377957,AGOT
Cargo,388399,GREEN ATLANTIC
Cargo,402693,GALAN
Cargo,402701,WINTER BAY
Cargo,402734,GRAND
Cargo,403087,AMATHUS
Cargo,406999,SEASTAR ENDURANCE
Cargo,411868,PACIFIC CALM
Cargo,412843,MSC MATILDE
Cargo,415711,ATROTOS HERACLES
Cargo,416514,MSC SANTHYA
Cargo,418044,MSC SABRINA
Cargo,418949,SEROJA EMPAT
Cargo,420706,NIKOLAS
Cargo,420754,NEWYORKER
Cargo,421615,SILVER FJORD
Cargo,458566,LILY-B
Cargo,459517,OCEAN RAINBOW
Cargo,461034,BLUE CHIP
Cargo,461192,KOZNITZA
Cargo,461454,ROBIN WIND
Cargo,461962,CITY OF ROTTERDAM
Cargo,463311,ALMENDRO
Cargo,465205,SANTA URSULA
Cargo,465931,OCEAN VOYAGER
Cargo,467978,LARGONA
Cargo,468082,BALTIC PRIME
Cargo,468812,SAN REMO
Cargo,469377,RUBYN
Cargo,469525,NINA 1
Cargo,547677,KNOSSOS
Cargo,674633,ASIAN VISION
Cargo,685288,GENCO RELIANCE
Cargo,686278,MAERSK NIAMEY
Cargo,687226,VICTORIA
Cargo,687849,AFRICAN CENDANA
Cargo,689205,SCHUYLER TRADER
Cargo,689765,PORT ALFRED
Cargo,691174,HEINA
Cargo,698727,FJORDVIK
Cargo,711847,LORD BYRON
Cargo,712201,GENCO THUNDER
Cargo,713818,FEDERAL SATSUKI
Cargo,713900,ICE RIVER
Cargo,714454,KYMOPOLIA
Cargo,714523,BOMAR VALOUR
Cargo,716099,LANTAU ARROW
Cargo,726008,APL MERLION
Cargo,726043,MOL QUINTET
Cargo,727807,STRATEGIC ENCOUNTER
Cargo,729384,ASIAN BREEZE
Cargo,732076,THOR INTEGRITY
Cargo,732703,IVS KITE
Cargo,732836,ADASTRA
Cargo,734035,ROJAREK NAREE
Cargo,754206,ZENIT
Cargo,754855,AMERDIJK
Cargo,754856,AALDERDIJK
Cargo,755306,AKERDIJK
Cargo,755491,ALLEGRA
Cargo,755518,USOLIE
Cargo,755883,BALTIC HEATHER
Cargo,756184,BALTIC PIONEER
Cargo,756186,BALTIC PATRIOT
Cargo,756187,BALTIC PERFORMER
Cargo,756252,OLGA
Cargo,756358,VANTAGE WAVE
Cargo,757296,YAMAL KRECHET
Cargo,757428,CALISTO
Cargo,757619,PRINCE OF WAVES
Cargo,757658,JONNI RITSCHER
Cargo,758443,ATLANTIC NAVIGATORII
Cargo,758523,INA LOTTE
Cargo,758559,PACIFIC WINTER
Cargo,758589,E.R. TALLINN
Cargo,758658,BARMBEK
